,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,田口　麗斗,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,武岡　龍世,46,118,103,6,19,5,0,1,27,5,1,0,7,1,7,0,0,22,0,.184,.262,.234,東京ヤクルトスワローズ,打撃成績
*,田中　陽翔,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,長岡　秀樹,19,78,72,4,14,2,0,0,16,2,0,0,2,1,2,1,1,6,3,.194,.222,.224,東京ヤクルトスワローズ,打撃成績
*,中村　優斗,3,5,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,.250,.250,.400,東京ヤクルトスワローズ,打撃成績
*,西川　遥輝,43,122,105,10,19,3,0,0,22,6,1,0,2,0,14,0,1,30,1,.181,.210,.283,東京ヤクルトスワローズ,打撃成績
*,橋本　星哉,13,12,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,0,.091,.091,.167,東京ヤクルトスワローズ,打撃成績
*,長谷川　宙輝,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,丸山　和郁,16,20,19,3,2,0,0,0,2,1,0,0,0,0,1,1,0,7,0,.105,.105,.150,東京ヤクルトスワローズ,打撃成績
*,丸山　翔大,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
*,宮本　丈,53,79,64,4,16,4,0,0,20,5,0,0,2,0,13,1,0,16,1,.250,.313,.377,東京ヤクルトスワローズ,打撃成績
*,村上　宗隆,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,東京ヤクルトスワローズ,打撃成績
*,茂木　栄五郎,53,172,150,12,36,2,0,5,53,16,0,3,1,0,19,1,2,48,2,.240,.353,.333,東京ヤクルトスワローズ,打撃成績
*,山野　太一,8,12,10,0,1,1,0,0,2,1,0,0,2,0,0,0,0,6,0,.100,.200,.100,東京ヤクルトスワローズ,打撃成績
*,山本　大貴,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,東京ヤクルトスワローズ,打撃成績
東京ヤクルトスワローズ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,東京ヤクルトスワローズ,打撃成績
*,板山　祐太郎,58,146,135,12,29,4,1,2,41,9,0,0,2,1,7,1,1,37,4,.215,.304,.257,中日ドラゴンズ,打撃成績
*,伊藤　茉央,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,上林　誠知,87,335,312,31,82,12,3,11,133,32,19,4,4,1,16,7,2,60,0,.263,.426,.302,中日ドラゴンズ,打撃成績
*,宇佐見　真吾,15,31,25,2,4,0,0,0,4,0,0,0,0,0,6,2,0,10,0,.160,.160,.323,中日ドラゴンズ,打撃成績
*,大島　洋平,38,70,69,5,16,0,0,0,16,2,3,0,0,0,1,0,0,8,0,.232,.232,.243,中日ドラゴンズ,打撃成績
*,大野　雄大,12,24,18,0,1,0,0,0,1,0,0,0,5,0,1,0,0,10,0,.056,.056,.105,中日ドラゴンズ,打撃成績
*,岡田　俊哉,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,中日ドラゴンズ,打撃成績
*,岡林　勇希,89,398,358,44,104,18,5,2,138,20,14,3,2,2,35,7,1,36,1,.291,.385,.354,中日ドラゴンズ,打撃成績
*,尾田　剛樹,28,5,5,7,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,.000,.000,.000,中日ドラゴンズ,打撃成績
